Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","3"
"05-09","HOME","46.356"
"05-09","MULLER","43.354"
"10-14","HOME","60.976"
"10-14","MULLER","57.423"
"15-19","HOME","52.812"
"15-19","MULLER","50.655"
"20-24","HOME","52.438"
"20-24","MULLER","50.944"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.597"
"25-29","MULLER","52.627"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.634"
"30-34","MULLER","61.266"
"35-39","HOME","74.287"
"35-39","MULLER","77.130"
"40-44","HOME","99.607"
"40-44","MULLER","102.078"
"45-49","HOME","106.214"
"45-49","MULLER","109.325"
"50-54","HOME","99.275"
"50-54","MULLER","103.927"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.018"
"55-59","MULLER","99.540"
"60-64","HOME","88.865"
"60-64","MULLER","95.852"
"65-69","HOME","79.324"
"65-69","MULLER","87.530"
"70-74","HOME","71.861"
"70-74","MULLER","82.718"
"75-79","HOME","62.052"
"75-79","MULLER","77.549"
"80-84","HOME","40.268"
"80-84","MULLER","57.786"
"85->","HOME","48.936"
"85->","MULLER","94.855"
