Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","3"
"05-09","DESCOÑECIDO","1"
"05-09","HOME","22.867"
"05-09","MULLER","21.243"
"10-14","HOME","58.511"
"10-14","MULLER","55.214"
"15-19","HOME","55.091"
"15-19","MULLER","52.839"
"20-24","HOME","51.393"
"20-24","MULLER","49.790"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.190"
"25-29","MULLER","52.326"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.823"
"30-34","MULLER","61.352"
"35-39","HOME","75.162"
"35-39","MULLER","77.987"
"40-44","HOME","100.453"
"40-44","MULLER","103.226"
"45-49","HOME","98.881"
"45-49","MULLER","102.452"
"50-54","HOME","98.770"
"50-54","MULLER","103.475"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","92.265"
"55-59","MULLER","98.864"
"60-64","HOME","88.456"
"60-64","MULLER","95.526"
"65-69","HOME","78.974"
"65-69","MULLER","87.122"
"70-74","HOME","71.684"
"70-74","MULLER","82.480"
"75-79","HOME","61.879"
"75-79","MULLER","77.329"
"80-84","HOME","40.175"
"80-84","MULLER","57.671"
"85->","HOME","48.801"
"85->","MULLER","94.597"
