Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","47.211"
"05-09","MULLER","44.285"
"10-14","HOME","61.330"
"10-14","MULLER","57.714"
"15-19","HOME","52.774"
"15-19","MULLER","50.638"
"20-24","HOME","52.504"
"20-24","MULLER","51.048"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.682"
"25-29","MULLER","52.710"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.685"
"30-34","MULLER","61.328"
"35-39","HOME","74.362"
"35-39","MULLER","77.194"
"40-44","HOME","99.664"
"40-44","MULLER","102.133"
"45-49","HOME","106.280"
"45-49","MULLER","109.385"
"50-54","HOME","99.309"
"50-54","MULLER","103.966"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.062"
"55-59","MULLER","99.571"
"60-64","HOME","88.867"
"60-64","MULLER","95.869"
"65-69","HOME","79.341"
"65-69","MULLER","87.549"
"70-74","HOME","71.883"
"70-74","MULLER","82.742"
"75-79","HOME","62.064"
"75-79","MULLER","77.558"
"80-84","HOME","40.291"
"80-84","MULLER","57.803"
"85->","HOME","48.952"
"85->","MULLER","94.878"
