Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","7"
"05-09","HOME","50.702"
"05-09","MULLER","47.610"
"10-14","HOME","61.613"
"10-14","MULLER","57.956"
"15-19","HOME","52.155"
"15-19","MULLER","49.657"
"20-24","HOME","52.774"
"20-24","MULLER","51.229"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.813"
"25-29","MULLER","52.824"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.760"
"30-34","MULLER","61.259"
"35-39","HOME","74.357"
"35-39","MULLER","77.130"
"40-44","HOME","99.777"
"40-44","MULLER","102.025"
"45-49","HOME","106.816"
"45-49","MULLER","109.796"
"50-54","HOME","99.273"
"50-54","MULLER","104.082"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.208"
"55-59","MULLER","90.394"
"60-64","HOME","88.793"
"60-64","MULLER","95.415"
"65-69","HOME","79.851"
"65-69","MULLER","87.876"
"70-74","HOME","73.876"
"70-74","MULLER","83.810"
"75-79","HOME","63.888"
"75-79","MULLER","78.762"
"80-84","HOME","42.626"
"80-84","MULLER","59.223"
"85->","HOME","54.787"
"85->","MULLER","104.214"
