Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","4"
"05-09","HOME","47.038"
"05-09","MULLER","44.088"
"10-14","HOME","61.270"
"10-14","MULLER","57.671"
"15-19","HOME","52.778"
"15-19","MULLER","50.637"
"20-24","HOME","52.499"
"20-24","MULLER","51.030"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.649"
"25-29","MULLER","52.681"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.669"
"30-34","MULLER","61.323"
"35-39","HOME","74.330"
"35-39","MULLER","77.177"
"40-44","HOME","99.657"
"40-44","MULLER","102.124"
"45-49","HOME","106.259"
"45-49","MULLER","109.370"
"50-54","HOME","99.306"
"50-54","MULLER","103.955"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.046"
"55-59","MULLER","99.566"
"60-64","HOME","88.874"
"60-64","MULLER","95.864"
"65-69","HOME","79.335"
"65-69","MULLER","87.541"
"70-74","HOME","71.869"
"70-74","MULLER","82.732"
"75-79","HOME","62.060"
"75-79","MULLER","77.553"
"80-84","HOME","40.285"
"80-84","MULLER","57.798"
"85->","HOME","48.948"
"85->","MULLER","94.873"
