Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","4"
"05-09","HOME","43.898"
"05-09","MULLER","40.938"
"10-14","HOME","60.374"
"10-14","MULLER","56.894"
"15-19","HOME","52.924"
"15-19","MULLER","50.749"
"20-24","HOME","52.252"
"20-24","MULLER","50.716"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.374"
"25-29","MULLER","52.422"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.499"
"30-34","MULLER","61.175"
"35-39","HOME","74.059"
"35-39","MULLER","76.899"
"40-44","HOME","99.452"
"40-44","MULLER","101.911"
"45-49","HOME","106.025"
"45-49","MULLER","109.212"
"50-54","HOME","99.199"
"50-54","MULLER","103.837"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","92.949"
"55-59","MULLER","99.487"
"60-64","HOME","88.798"
"60-64","MULLER","95.797"
"65-69","HOME","79.298"
"65-69","MULLER","87.459"
"70-74","HOME","71.820"
"70-74","MULLER","82.672"
"75-79","HOME","62.018"
"75-79","MULLER","77.507"
"80-84","HOME","40.240"
"80-84","MULLER","57.767"
"85->","HOME","48.890"
"85->","MULLER","94.797"
