Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","47.710"
"05-09","MULLER","44.758"
"10-14","HOME","61.442"
"10-14","MULLER","57.816"
"15-19","HOME","52.718"
"15-19","MULLER","50.556"
"20-24","HOME","52.555"
"20-24","MULLER","51.113"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.701"
"25-29","MULLER","52.773"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.717"
"30-34","MULLER","61.368"
"35-39","HOME","74.408"
"35-39","MULLER","77.220"
"40-44","HOME","99.640"
"40-44","MULLER","102.109"
"45-49","HOME","106.401"
"45-49","MULLER","109.483"
"50-54","HOME","99.321"
"50-54","MULLER","103.989"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.098"
"55-59","MULLER","99.586"
"60-64","HOME","88.876"
"60-64","MULLER","95.908"
"65-69","HOME","79.365"
"65-69","MULLER","87.555"
"70-74","HOME","71.892"
"70-74","MULLER","82.757"
"75-79","HOME","62.072"
"75-79","MULLER","77.559"
"80-84","HOME","40.292"
"80-84","MULLER","57.813"
"85->","HOME","48.957"
"85->","MULLER","94.885"
