Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","HOME","33.760"
"10-14","MULLER","32.071"
"15-19","HOME","53.578"
"15-19","MULLER","51.776"
"20-24","HOME","49.114"
"20-24","MULLER","48.578"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","49.850"
"25-29","MULLER","50.946"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","57.618"
"30-34","MULLER","59.732"
"35-39","HOME","73.865"
"35-39","MULLER","77.241"
"40-44","HOME","98.955"
"40-44","MULLER","102.557"
"45-49","HOME","103.409"
"45-49","MULLER","107.376"
"50-54","HOME","97.428"
"50-54","MULLER","102.819"
"55-59","HOME","89.620"
"55-59","MULLER","96.419"
"60-64","HOME","86.801"
"60-64","MULLER","94.040"
"65-69","HOME","78.196"
"65-69","MULLER","86.243"
"70-74","HOME","70.972"
"70-74","MULLER","82.652"
"75-79","HOME","59.857"
"75-79","MULLER","75.016"
"80-84","HOME","39.063"
"80-84","MULLER","57.213"
"85->","HOME","44.544"
"85->","MULLER","87.587"
