Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","36.190"
"10-14","MULLER","34.369"
"15-19","HOME","54.612"
"15-19","MULLER","52.624"
"20-24","HOME","50.549"
"20-24","MULLER","49.612"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","51.309"
"25-29","MULLER","52.055"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","58.891"
"30-34","MULLER","60.779"
"35-39","HOME","74.944"
"35-39","MULLER","78.289"
"40-44","HOME","99.986"
"40-44","MULLER","103.352"
"45-49","HOME","101.492"
"45-49","MULLER","105.114"
"50-54","HOME","100.657"
"50-54","MULLER","105.860"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","90.332"
"55-59","MULLER","96.940"
"60-64","HOME","87.487"
"60-64","MULLER","94.548"
"65-69","HOME","74.916"
"65-69","MULLER","82.438"
"70-74","HOME","69.191"
"70-74","MULLER","79.876"
"75-79","HOME","61.258"
"75-79","MULLER","76.509"
"80-84","HOME","39.964"
"80-84","MULLER","57.486"
"85->","HOME","48.535"
"85->","MULLER","94.014"
