ID,NOME,CASOS_14_DIAS,NIVEL_14_DIAS,CASOS_7_DIAS,NIVEL_7_DIAS,COR
"34121515001","ABEGONDO","Número de novos casos diagnosticados no concello: 194.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 71.","Incidencia acumulada para o concello: >250.","0"
"34121515002","AMES","Número de novos casos diagnosticados no concello: 1.127.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 556.","Incidencia acumulada para o concello: >250.","0"
"34121515003","ARANGA","Número de novos casos diagnosticados no concello: 15.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >250.","0"
"34121515004","ARES","Número de novos casos diagnosticados no concello: 80.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 40.","Incidencia acumulada para o concello: >250.","0"
"34121515005","ARTEIXO","Número de novos casos diagnosticados no concello: 859.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 342.","Incidencia acumulada para o concello: >250.","0"
"34121515006","ARZUA","Número de novos casos diagnosticados no concello: 91.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 45.","Incidencia acumulada para o concello: >250.","0"
"34121515007","BAÑA (A)","Número de novos casos diagnosticados no concello: 75.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 38.","Incidencia acumulada para o concello: >250.","0"
"34121515008","BERGONDO","Número de novos casos diagnosticados no concello: 137.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 62.","Incidencia acumulada para o concello: >250.","0"
"34121515009","BETANZOS","Número de novos casos diagnosticados no concello: 312.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 139.","Incidencia acumulada para o concello: >250.","0"
"34121515010","BOIMORTO","Número de novos casos diagnosticados no concello: 29.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >250.","0"
"34121515011","BOIRO","Número de novos casos diagnosticados no concello: 487.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 247.","Incidencia acumulada para o concello: >250.","0"
"34121515012","BOQUEIXON","Número de novos casos diagnosticados no concello: 68.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 36.","Incidencia acumulada para o concello: >250.","0"
"34121515013","BRION","Número de novos casos diagnosticados no concello: 246.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 102.","Incidencia acumulada para o concello: >250.","0"
"34121515014","CABANA DE BERGANTIÑOS","Número de novos casos diagnosticados no concello: 58.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 35.","Incidencia acumulada para o concello: >250.","0"
"34121515015","CABANAS","Número de novos casos diagnosticados no concello: 52.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 23.","Incidencia acumulada para o concello: >250.","0"
"34121515016","CAMARIÑAS","Número de novos casos diagnosticados no concello: 128.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 52.","Incidencia acumulada para o concello: >250.","0"
"34121515017","CAMBRE","Número de novos casos diagnosticados no concello: 742.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 317.","Incidencia acumulada para o concello: >250.","0"
"34121515018","CAPELA (A)","Número de novos casos diagnosticados no concello: 39.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 14.","Incidencia acumulada para o concello: >250.","0"
"34121515019","CARBALLO","Número de novos casos diagnosticados no concello: 833.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 344.","Incidencia acumulada para o concello: >250.","0"
"34121515020","CARNOTA","Número de novos casos diagnosticados no concello: 39.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 18.","Incidencia acumulada para o concello: >250.","0"
"34121515021","CARRAL","Número de novos casos diagnosticados no concello: 168.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 80.","Incidencia acumulada para o concello: >250.","0"
"34121515022","CEDEIRA","Número de novos casos diagnosticados no concello: 106.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 46.","Incidencia acumulada para o concello: >250.","0"
"34121515023","CEE","Número de novos casos diagnosticados no concello: 176.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 68.","Incidencia acumulada para o concello: >250.","0"
"34121515024","CERCEDA","Número de novos casos diagnosticados no concello: 110.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 52.","Incidencia acumulada para o concello: >250.","0"
"34121515025","CERDIDO","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >250.","0"
"34121515027","COIROS","Número de novos casos diagnosticados no concello: 36.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 21.","Incidencia acumulada para o concello: >250.","0"
"34121515028","CORCUBION","Número de novos casos diagnosticados no concello: 22.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >250.","0"
"34121515029","CORISTANCO","Número de novos casos diagnosticados no concello: 91.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 38.","Incidencia acumulada para o concello: >250.","0"
"34121515030","CORUÑA (A)","Número de novos casos diagnosticados no concello: 7.071.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 3.087.","Incidencia acumulada para o concello: >250.","0"
"34121515031","CULLEREDO","Número de novos casos diagnosticados no concello: 1.151.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 513.","Incidencia acumulada para o concello: >250.","0"
"34121515032","CURTIS","Número de novos casos diagnosticados no concello: 86.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 39.","Incidencia acumulada para o concello: >250.","0"
"34121515033","DODRO","Número de novos casos diagnosticados no concello: 67.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 36.","Incidencia acumulada para o concello: >250.","0"
"34121515034","DUMBRIA","Número de novos casos diagnosticados no concello: 39.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 15.","Incidencia acumulada para o concello: >250.","0"
"34121515035","FENE","Número de novos casos diagnosticados no concello: 206.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 116.","Incidencia acumulada para o concello: >250.","0"
"34121515036","FERROL","Número de novos casos diagnosticados no concello: 1.239.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 594.","Incidencia acumulada para o concello: >250.","0"
"34121515037","FISTERRA","Número de novos casos diagnosticados no concello: 68.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 39.","Incidencia acumulada para o concello: >250.","0"
"34121515038","FRADES","Número de novos casos diagnosticados no concello: 32.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 23.","Incidencia acumulada para o concello: >250.","0"
"34121515039","IRIXOA","Número de novos casos diagnosticados no concello: 10.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >125 e ≤250.","0"
"34121515040","LAXE","Número de novos casos diagnosticados no concello: 65.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 17.","Incidencia acumulada para o concello: >250.","0"
"34121515041","LARACHA","Número de novos casos diagnosticados no concello: 220.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 94.","Incidencia acumulada para o concello: >250.","0"
"34121515042","LOUSAME","Número de novos casos diagnosticados no concello: 63.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 31.","Incidencia acumulada para o concello: >250.","0"
"34121515043","MALPICA DE BERGANTIÑOS","Número de novos casos diagnosticados no concello: 95.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 42.","Incidencia acumulada para o concello: >250.","0"
"34121515044","MAÑON","Número de novos casos diagnosticados no concello: 21.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >250.","0"
"34121515045","MAZARICOS","Número de novos casos diagnosticados no concello: 83.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 34.","Incidencia acumulada para o concello: >250.","0"
"34121515046","MELIDE","Número de novos casos diagnosticados no concello: 120.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 49.","Incidencia acumulada para o concello: >250.","0"
"34121515047","MESIA","Número de novos casos diagnosticados no concello: 26.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 17.","Incidencia acumulada para o concello: >250.","0"
"34121515048","MIÑO","Número de novos casos diagnosticados no concello: 128.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 50.","Incidencia acumulada para o concello: >250.","0"
"34121515049","MOECHE","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >250.","0"
"34121515050","MONFERO","Número de novos casos diagnosticados no concello: 26.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 14.","Incidencia acumulada para o concello: >250.","0"
"34121515051","MUGARDOS","Número de novos casos diagnosticados no concello: 69.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 27.","Incidencia acumulada para o concello: >250.","0"
"34121515052","MUXIA","Número de novos casos diagnosticados no concello: 73.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 37.","Incidencia acumulada para o concello: >250.","0"
"34121515053","MUROS","Número de novos casos diagnosticados no concello: 227.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 111.","Incidencia acumulada para o concello: >250.","0"
"34121515054","NARON","Número de novos casos diagnosticados no concello: 750.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 348.","Incidencia acumulada para o concello: >250.","0"
"34121515055","NEDA","Número de novos casos diagnosticados no concello: 70.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 31.","Incidencia acumulada para o concello: >250.","0"
"34121515056","NEGREIRA","Número de novos casos diagnosticados no concello: 192.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 104.","Incidencia acumulada para o concello: >250.","0"
"34121515057","NOIA","Número de novos casos diagnosticados no concello: 398.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 180.","Incidencia acumulada para o concello: >250.","0"
"34121515058","OLEIROS","Número de novos casos diagnosticados no concello: 1.304.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 652.","Incidencia acumulada para o concello: >250.","0"
"34121515059","ORDES","Número de novos casos diagnosticados no concello: 266.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 124.","Incidencia acumulada para o concello: >250.","0"
"34121515060","OROSO","Número de novos casos diagnosticados no concello: 265.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 144.","Incidencia acumulada para o concello: >250.","0"
"34121515061","ORTIGUEIRA","Número de novos casos diagnosticados no concello: 55.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 25.","Incidencia acumulada para o concello: >250.","0"
"34121515062","OUTES","Número de novos casos diagnosticados no concello: 204.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 101.","Incidencia acumulada para o concello: >250.","0"
"34121515064","PADERNE","Número de novos casos diagnosticados no concello: 31.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 12.","Incidencia acumulada para o concello: >250.","0"
"34121515065","PADRON","Número de novos casos diagnosticados no concello: 232.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 95.","Incidencia acumulada para o concello: >250.","0"
