ID,NOME,CASOS_14_DIAS,NIVEL_14_DIAS,CASOS_7_DIAS,NIVEL_7_DIAS,COR
"34121515001","ABEGONDO","Número de novos casos diagnosticados no concello: 81.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 25.","Incidencia acumulada para o concello: >250.","0"
"34121515002","AMES","Número de novos casos diagnosticados no concello: 726.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 272.","Incidencia acumulada para o concello: >250.","0"
"34121515003","ARANGA","Número de novos casos diagnosticados no concello: 13.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: entre 1 e 9.","Incidencia acumulada para o concello: >250.","0"
"34121515004","ARES","Número de novos casos diagnosticados no concello: 69.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 34.","Incidencia acumulada para o concello: >250.","0"
"34121515005","ARTEIXO","Número de novos casos diagnosticados no concello: 474.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 173.","Incidencia acumulada para o concello: >250.","0"
"34121515006","ARZUA","Número de novos casos diagnosticados no concello: 59.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 23.","Incidencia acumulada para o concello: >250.","0"
"34121515007","BAÑA (A)","Número de novos casos diagnosticados no concello: 47.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 18.","Incidencia acumulada para o concello: >250.","0"
"34121515008","BERGONDO","Número de novos casos diagnosticados no concello: 102.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 44.","Incidencia acumulada para o concello: >250.","0"
"34121515009","BETANZOS","Número de novos casos diagnosticados no concello: 197.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 53.","Incidencia acumulada para o concello: >250.","0"
"34121515010","BOIMORTO","Número de novos casos diagnosticados no concello: 21.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 14.","Incidencia acumulada para o concello: >250.","0"
"34121515011","BOIRO","Número de novos casos diagnosticados no concello: 366.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 134.","Incidencia acumulada para o concello: >250.","0"
"34121515012","BOQUEIXON","Número de novos casos diagnosticados no concello: 54.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 24.","Incidencia acumulada para o concello: >250.","0"
"34121515013","BRION","Número de novos casos diagnosticados no concello: 138.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 52.","Incidencia acumulada para o concello: >250.","0"
"34121515014","CABANA DE BERGANTIÑOS","Número de novos casos diagnosticados no concello: 65.","Incidencia acumulada para o concello: >500.","Número de novos casos diagnosticados no concello: 26.","Incidencia acumulada para o concello: >250.","0"
